;WEEK_PRI;YEAR_PRI;CASES
306;37;2016;5
307;37;2017;12
308;37;2018;92
309;37;2019;84
310;37;2020;8
311;37;2021;1
312;37;2022;4
313;37;2023;13
314;38;2017;10
315;38;2018;97
316;38;2019;81
317;38;2020;2
318;38;2021;4
319;38;2022;7
320;38;2023;13
321;39;2016;3
322;39;2017;10
323;39;2018;64
324;39;2019;57
325;39;2020;4
326;39;2021;2
327;39;2022;6
328;39;2023;9
329;40;2017;22
330;40;2018;103
331;40;2019;114
332;40;2020;8
333;40;2021;2
334;40;2022;7
335;40;2023;4
336;41;2016;1
337;41;2017;16
338;41;2018;95
339;41;2019;119
340;41;2020;5
341;41;2021;2
342;41;2022;3
343;41;2023;6
344;42;2016;3
345;42;2017;12
346;42;2018;90
347;42;2019;122
348;42;2020;6
349;42;2021;1
350;42;2022;2
351;42;2023;4
352;43;2016;4
353;43;2017;9
354;43;2018;83
355;43;2019;72
356;43;2020;5
357;43;2021;3
358;43;2022;3
359;43;2023;9
360;44;2016;4
361;44;2017;14
362;44;2018;103
363;44;2019;54
364;44;2020;3
365;44;2021;3
366;44;2022;1
367;44;2023;9
368;45;2016;1
369;45;2017;9
370;45;2018;125
371;45;2019;67
372;45;2020;8
373;45;2021;4
374;45;2022;4
375;45;2023;3
376;46;2016;1
377;46;2017;9
378;46;2018;125
379;46;2019;44
380;46;2020;8
381;46;2021;2
382;46;2022;4
383;46;2023;9
384;47;2016;6
385;47;2017;8
386;47;2018;126
387;47;2019;67
388;47;2020;5
389;47;2021;2
390;47;2022;3
391;47;2023;5
392;48;2016;2
393;48;2017;10
394;48;2018;195
395;48;2019;69
396;48;2020;7
397;48;2021;6
398;48;2022;6
399;48;2023;12
400;49;2016;4
401;49;2017;30
402;49;2018;205
403;49;2019;51
404;49;2020;11
405;49;2021;2
406;49;2022;5
407;49;2023;14
408;50;2015;1
409;50;2016;2
410;50;2017;36
411;50;2018;243
412;50;2019;56
413;50;2020;5
414;50;2021;2
415;50;2022;6
416;50;2023;17
417;51;2016;4
418;51;2017;31
419;51;2018;210
420;51;2019;36
421;51;2020;3
422;51;2023;12
423;52;2015;1
424;52;2016;5
425;52;2017;22
426;52;2018;121
427;52;2019;37
428;52;2020;1
429;52;2021;1
430;52;2022;2
431;52;2023;13
